id,company_id,slug,name,capability_type,domain_id,summary,company_facing_context,last_updated_at
capability-1,company-1,fjordsense-passive-array,FjordSense Passive Array,Sensing System,domain-2,Fixed passive acoustic array for under-ice monitoring where patrol coverage is thin,Best suited for fixed underwater watch lines in ice-affected approaches,2026-03-28T00:00:00.000Z
capability-2,company-1,northshore-ice-relay-buoy,Northshore Ice Relay Buoy,Relay Infrastructure,domain-5,Autonomous relay buoy that keeps offshore Arctic sensors connected through ice season,Best where offshore sensors need winter connectivity without staffed sites,2026-04-08T00:00:00.000Z
capability-3,company-2,polar-mesh-edge-grid,Polar Mesh Edge Grid,Data Platform,domain-4,Edge fusion layer that merges radar acoustic and satellite feeds into one operating picture,Best for teams stitching together multiple Arctic monitoring tools,2026-04-06T00:00:00.000Z
capability-4,company-2,polar-mesh-bandwidth-governor,Polar Mesh Bandwidth Governor,Network Control Software,domain-5,Traffic orchestration software that protects mission-critical data on degraded northern links,Useful only where link saturation is limiting remote operations,2026-03-02T00:00:00.000Z
capability-5,company-3,aegir-scout-auv,Aegir Scout AUV,Robotics Platform,domain-1,Autonomous underwater patrol vehicle built for under-ice ISR where surface access is limited,Most relevant for missions that need subsea reach beyond crewed patrols,2026-01-12T00:00:00.000Z
capability-6,company-3,aegir-ice-margin-mapper,Aegir Ice Margin Mapper,Payload System,domain-2,Mission payload that maps ice edge movement and subsea anomalies during AUV patrols,Creates mission value only when paired with an operational AUV platform,2026-02-15T00:00:00.000Z
capability-7,company-4,icethread-arctic-pattern-engine,IceThread Arctic Pattern Engine,Analytics Software,domain-4,Anomaly detection software that flags suspicious vessel behavior across sparse Arctic feeds,Best when teams need alerting instead of manual review across many data sources,2026-04-11T00:00:00.000Z
capability-8,company-5,boreal-spectrum-shoreline-radar,Boreal Spectrum Shoreline Radar,Radar System,domain-2,Coastal radar stack optimized for narrow Arctic approaches and ice-affected chokepoints,Best suited for fixed watch sites covering high-value corridors,2026-04-11T00:00:00.000Z
capability-9,company-5,boreal-spectrum-ice-drift-classifier,Boreal Spectrum Ice Drift Classifier,Environmental Analytics,domain-4,Forecast model that converts radar tracks into near-term ice route risk decisions,Most useful where operators already collect radar data but need route calls faster,2026-04-11T00:00:00.000Z
capability-10,company-6,aurora-longline-relay,Aurora Longline Relay,Relay Node,domain-5,Long-range relay node that backhauls remote coastal sensors across sparse northern corridors,Best for corridor-scale sensing where permanent infrastructure is absent,2026-03-14T00:00:00.000Z
capability-11,company-7,fjord-cloud-sar-change-lens,Fjord Cloud SAR Change Lens,Imagery Analytics,domain-2,SAR analytics layer that isolates persistent surface change across wide Arctic areas,Best when overhead collections already exist but analysts need faster change review,2026-04-09T00:00:00.000Z
capability-12,company-8,snowcap-trailblazer-ugv,Snowcap Trailblazer UGV,Ground Robotics Platform,domain-3,Over-snow unmanned scout for route reconnaissance near austere Arctic outposts,Useful for forward teams that need route checks without exposing crews,2025-12-05T00:00:00.000Z
capability-13,company-8,snowcap-sensor-sled,Snowcap Sensor Sled,Field Sensing Platform,domain-3,Towable sensor sled for short-duration route surveys and temporary watch coverage,Best for temporary deployments rather than permanent Arctic monitoring,2026-01-08T00:00:00.000Z
capability-14,company-9,drift-passive-rf-net,Drift Passive RF Net,RF Sensing System,domain-2,Passive RF sensing network for detecting emitters along remote maritime approaches,Most useful when active sensing would reveal the watch position,2026-02-07T00:00:00.000Z
capability-15,company-10,tundra-edge-mission-stack,Tundra Edge Mission Stack,Mission Software,domain-4,Disconnected mission software stack that keeps local awareness tools running without backhaul,Strong fit as the local software backbone inside larger Arctic monitoring systems,2026-04-12T00:00:00.000Z
capability-16,company-11,arctic-current-docking-pod,Arctic Current Docking Pod,Support Infrastructure,domain-5,Cold-weather docking pod that recharges unmanned maritime systems between patrols,Most relevant after unmanned patrol concepts prove endurance in real conditions,2025-11-18T00:00:00.000Z
capability-17,company-12,northwatch-ice-route-monitor,Northwatch Ice Route Monitor,Satellite Monitoring Product,domain-2,Satellite service that tracks route risk vessel movement and ice change across Arctic corridors,Best for teams responsible for wide-area route awareness rather than local site watch,2026-04-13T00:00:00.000Z
capability-18,company-13,coldwater-horizon-eo-mast,Coldwater Horizon EO Mast,EO IR Watch System,domain-2,Deployable EO IR mast for short-notice watch at austere northern sites,Best for temporary Arctic sites that need local visual watch quickly,2026-02-18T00:00:00.000Z
capability-19,company-14,polar-guardian-microgrid-kit,Polar Guardian Microgrid Kit,Field Power System,domain-5,Portable power kit that sustains relay and sensing nodes through low-sun Arctic deployments,Best as an enabling layer for remote monitoring sites with weak sustainment,2026-02-04T00:00:00.000Z
capability-20,company-15,inlet-high-north-mesh-radio,Inlet High North Mesh Radio,Communications System,domain-5,Expeditionary mesh radio that creates local connectivity at temporary Arctic monitoring sites,Best for fast stand-up of local sensor and operator networks,2026-04-12T00:00:00.000Z
pilot-capability-kraken-katfish-sas,pilot-company-kraken-robotics,kraken-katfish-sas,KATFISH Towed Synthetic Aperture Sonar,Towed Synthetic Aperture Sonar,domain-2,"Actively stabilized towed synthetic aperture sonar system for high-resolution underwater survey, seabed imaging, and subsea object detection.","Best reviewed for underwater ISR, route survey, seabed change detection, and mine or subsea infrastructure awareness use cases.",2026-04-24T00:00:00.000Z
pilot-capability-mda-chorus-sar,pilot-company-mda-space,mda-chorus-sar,MDA CHORUS Synthetic Aperture Radar Constellation,Earth Observation SAR Constellation,domain-2,Next-generation C-band and X-band synthetic aperture radar constellation intended to provide all-weather day-night Earth observation data.,"Best reviewed as an overhead sensing layer for Arctic awareness, maritime monitoring, and distributed sensor fusion.",2026-04-24T00:00:00.000Z
pilot-capability-cellula-envoy-auv,pilot-company-cellula-robotics,cellula-envoy-auv,Envoy Long-Endurance Autonomous Underwater Vehicle,Autonomous Underwater Vehicle,domain-1,Long-endurance fuel-cell autonomous underwater vehicle designed for persistent subsea missions and extended underwater operation.,"Best reviewed for undersea route reconnaissance, subsea infrastructure monitoring, and extended underwater patrol validation.",2026-04-24T00:00:00.000Z
pilot-capability-kongsberg-iris-terminal,pilot-company-kongsberg-geospatial,kongsberg-iris-terminal,IRIS Terminal Airspace Visualization,Mission Visualization Software,domain-4,"Airspace visualization and situational awareness software that combines sensor, telemetry, and air traffic inputs for uncrewed operations.","Best reviewed for uncrewed system deconfliction, BVLOS test ranges, and local mission visualization in complex operations.",2026-04-24T00:00:00.000Z
pilot-capability-geospectrum-traps,pilot-company-geospectrum-technologies,geospectrum-traps-sonar,TRAPS Towed Reelable Active Passive Sonar,Active Passive Towed Sonar,domain-2,"Compact active-passive variable-depth sonar system for underwater target detection, classification, tracking, and localization.",Best reviewed for surface-ship and uncrewed-surface underwater surveillance roles in maritime approaches.,2026-04-24T00:00:00.000Z
pilot-capability-open-ocean-robotics-usv,pilot-company-open-ocean-robotics,open-ocean-robotics-usv-maritime-awareness,Autonomous USV Maritime Awareness Platform,Autonomous Surface Vehicle,domain-1,"Autonomous uncrewed surface vessel platform for persistent maritime security, ocean data collection, and remote maritime awareness.","Best reviewed as a persistent surface collection node that can complement overhead, acoustic, and mission software layers.",2026-04-24T00:00:00.000Z
